step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,1.6627008564882875e-15,-6509.965022519475,-15.499916720284464,-46.49975016085339,136.0,221.0,357.0,271.0,86.0,1.5571428571428572,0.5142857142857142,0.6295180722891566,0.7077380952380953,2.8687856560717195,1.9009918970705793,2.0025962065964698,2.909505544064083,242.0,170.0,surface,1,0.0310943569361694,-0.04554313860457526,0.0,-0.04554313860457526,0.15,0,0,16,0.005273242428020259,0.6094131546963236,159435006311891.75,96,96,0,0.35,3600.0,2.5,1
1,1.8050103242792033e-15,,,,,,,,,,,,,,,,,,,surface,1,-0.131426761804862,-0.19944333967051975,0.0,-0.19944333967051975,0.15,0,0,16,0.0008466785113602632,0.9582851374251171,146491075096736.4,96,96,0,0.35,3600.0,2.5,1
2,6.71479193545983e-15,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.00883918097499921,0.12733240868468698,0.0,0.12733240868468698,0.15,0,0,16,0.0067115794991145766,0.4096324586339044,158589192084485.6,96,96,0,0.35,3600.0,2.5,1
3,1.223048933565453e-14,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.013466192853168257,-0.18581330361816661,0.0,-0.18581330361816661,0.15,0,0,16,0.0032916525715586467,0.9193325760691663,148348651315154.47,96,96,0,0.35,3600.0,2.5,1
4,1.2885558760608228e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.02101196569816897,0.03389363574230586,0.006024096385542244,0.018833394778450252,0.15,0,0,16,0.00021989144479397232,0.19932637032960293,155588652740658.25,96,96,0,0.35,3600.0,2.5,1
5,2.2947577780721906e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.0011068305654491051,-0.09692362428740431,0.0,-0.09692362428740431,0.15,0,0,15,0.0005572941226693759,0.8216708925632344,161538974100581.2,96,96,0,0.35,3600.0,2.5,1
6,3.4474933467867167e-14,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.20228103909858228,0.3487987921231941,0.0,0.3487987921231941,0.15,0,0,15,0.003832048588432807,0.37302624938758316,139924667416840.45,96,96,0,0.35,3600.0,2.5,1
7,3.503096161053842e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.03575786086395532,-0.011357913333824854,0.0,-0.011357913333824854,0.15,0,0,16,0.008261373116134852,0.8846364823903556,142188428635517.9,96,96,0,0.35,3600.0,2.5,1
8,3.6041776104342335e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.07746123317708759,-0.2930458113023917,0.0,-0.2930458113023917,0.15,0,1,15,0.0323037620834703,0.7776125268140167,142869611290128.2,96,96,0,0.35,3600.0,2.5,1
9,3.847796998606563e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.013898435409630807,-0.14833234119650762,0.0,-0.14833234119650762,0.15,0,0,16,0.0002798471567995609,0.9101099330292701,155353169412445.78,96,96,0,0.35,3600.0,2.5,1
10,4.330437481229699e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.03863030946039834,-0.1875754442292621,0.0,-0.1875754442292621,0.15,0,0,16,0.012666900820609369,0.48011158475036636,158862250659238.38,96,96,0,0.35,3600.0,2.5,1
11,5.26881882225534e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.30201778553937586,-0.34399125589491675,0.0,-0.34399125589491675,0.15,0,1,15,0.016755342304058812,0.9979730971038093,160032919339010.22,96,96,0,0.35,3600.0,2.5,1
12,6.334373143687949e-14,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.2842705782555852,0.5394511302143243,0.0,0.5394511302143243,0.15,0,0,15,0.012499814233017298,0.07581210120213187,149687266675841.38,96,96,0,0.35,3600.0,2.5,1
